ID,Scientific Name,Common Name,Latitude,Longitude,Country Code,Taxon ID,Month,Day,Year,Basis of Record,Provider's institution,Collection code,Collection date,Collected by,State,County or Borough,verbatumEventDate
AKCAEBL1,Pluvialis dominica,American Golden-Plover,70.39491,-155.40895,US,176564,06,,2013,observation,BISON,USGS Alaska Science Center - Changing Arctic Ecosystems - birdlist,,Tom Fondell,Alaska,North Slope,6/2013
AKCAEBL2,Pluvialis squatarola,Black-bellied Plover,70.39491,-155.40895,US,176567,06,,2013,observation,BISON,USGS Alaska Science Center - Changing Arctic Ecosystems - birdlist,,Tom Fondell,Alaska,North Slope,6/2013
AKCAEBL3,Charadrius semipalmatus,Semipalmated Plover,70.39491,-155.40895,US,176506,06,,2013,observation,BISON,USGS Alaska Science Center - Changing Arctic Ecosystems - birdlist,,Tom Fondell,Alaska,North Slope,6/2013
AKCAEBL4,Limosa lapponica,Bar-tailed Godwit,70.39491,-155.40895,US,176687,06,,2013,observation,BISON,USGS Alaska Science Center - Changing Arctic Ecosystems - birdlist,,Tom Fondell,Alaska,North Slope,6/2013
AKCAEBL5,Numenius phaeopus,Whimbrel,70.39491,-155.40895,US,176599,06,,2013,observation,BISON,USGS Alaska Science Center - Changing Arctic Ecosystems - birdlist,,Tom Fondell,Alaska,North Slope,6/2013
AKCAEBL6,Arenaria interpres,Ruddy Turnstone,70.39491,-155.40895,US,176571,06,,2013,observation,BISON,USGS Alaska Science Center - Changing Arctic Ecosystems - birdlist,,Tom Fondell,Alaska,North Slope,6/2013
AKCAEBL7,Phalaropus lobatus,Red-necked Phalarope,70.39491,-155.40895,US,176735,06,,2013,observation,BISON,USGS Alaska Science Center - Changing Arctic Ecosystems - birdlist,,Tom Fondell,Alaska,North Slope,6/2013
AKCAEBL8,Phalaropus fulicarius,Red Phalarope,70.39491,-155.40895,US,176734,06,,2013,observation,BISON,USGS Alaska Science Center - Changing Arctic Ecosystems - birdlist,,Tom Fondell,Alaska,North Slope,6/2013
AKCAEBL9,Limnodromus scolopaceus,Long-billed Dowitcher,70.39491,-155.40895,US,176679,06,,2013,observation,BISON,USGS Alaska Science Center - Changing Arctic Ecosystems - birdlist,,Tom Fondell,Alaska,North Slope,6/2013
AKCAEBL10,Calidris pusilla,Semipalmated Sandpiper,70.39491,-155.40895,US,176667,06,,2013,observation,BISON,USGS Alaska Science Center - Changing Arctic Ecosystems - birdlist,,Tom Fondell,Alaska,North Slope,6/2013
AKCAEBL11,Calidris mauri,Western Sandpiper,70.39491,-155.40895,US,176668,06,,2013,observation,BISON,USGS Alaska Science Center - Changing Arctic Ecosystems - birdlist,,Tom Fondell,Alaska,North Slope,6/2013
AKCAEBL12,Calidris melanotos,Pectoral Sandpiper,70.39491,-155.40895,US,176653,06,,2013,observation,BISON,USGS Alaska Science Center - Changing Arctic Ecosystems - birdlist,,Tom Fondell,Alaska,North Slope,6/2013
AKCAEBL13,Calidris alpina,Dunlin,70.39491,-155.40895,US,176661,06,,2013,observation,BISON,USGS Alaska Science Center - Changing Arctic Ecosystems - birdlist,,Tom Fondell,Alaska,North Slope,6/2013
AKCAEBL14,Calidris himantopus,Stilt Sandpiper,70.39491,-155.40895,US,554145,06,,2013,observation,BISON,USGS Alaska Science Center - Changing Arctic Ecosystems - birdlist,,Tom Fondell,Alaska,North Slope,6/2013
